[2011-06-08 01:05:23,988] -- DEBUG -- -> SJOIN 1307513123 #labere +nt :48TAAAABC
[2011-06-08 01:02:51,557] -- DEBUG -- <- registering :jack
[2011-06-08 01:02:51,558] -- DEBUG -- <- registering :unicorn rainbow poop
[2011-06-08 01:02:51,559] -- DEBUG -- <- registering :Joey
[2011-06-08 01:02:51,559] -- DEBUG -- <- registering :TerrorBite
[2011-06-08 01:02:51,559] -- DEBUG -- <- registering :k
[2011-06-08 01:02:51,560] -- DEBUG -- <- registering :Alyx
[2011-06-08 01:02:51,560] -- DEBUG -- <- registering :Linux User
[2011-06-08 01:02:51,560] -- DEBUG -- <- registering :Josh
[2011-06-08 01:02:51,561] -- DEBUG -- <- registering :CIA Bot (http://cia.vc)
[2011-06-08 01:02:51,561] -- DEBUG -- <- registering :ashie^.^
[2011-06-08 01:02:51,562] -- DEBUG -- <- registering :purple
[2011-06-08 01:02:51,562] -- DEBUG -- <- registering :Got ZNC?
[2011-06-08 01:02:51,562] -- DEBUG -- <- registering :Brandon Rodriguez
[2011-06-08 01:02:51,562] -- DEBUG -- <- registering :Hunter
[2011-06-08 01:02:51,563] -- DEBUG -- <- registering :Mitchell Cooper
[2011-06-08 01:02:51,563] -- DEBUG -- <- registering :CIA Bot (http://cia.vc)
[2011-06-08 01:02:51,564] -- DEBUG -- <- registering :Mitchell Cooper
[2011-06-08 01:02:51,564] -- DEBUG -- <- registering :blowing up snakes
[2011-06-08 01:02:51,565] -- DEBUG -- <- registering :Kelly
[2011-06-08 01:02:51,565] -- DEBUG -- <- registering :PircBot 1.5.0 Java IRC Bot - www.jibble.org
[2011-06-08 01:02:51,566] -- DEBUG -- <- registering :Textual User
[2011-06-08 01:02:51,566] -- DEBUG -- <- registering :...
[2011-06-08 01:02:51,567] -- DEBUG -- <- PING :47Q
[2011-06-08 01:02:51,567] -- DEBUG -- -> PONG :47Q
[2011-06-08 01:09:28,154] -- INFO -- protocol: unloaded modules/protocol/TS6.py
[2011-06-08 01:09:28,687] -- INFO -- initializing uplink and protocol..
[2011-06-08 01:09:28,688] -- INFO -- <-> conection type: plain
[2011-06-08 01:09:47,305] -- INFO -- initializing uplink and protocol..
[2011-06-08 01:09:47,306] -- INFO -- <-> conection type: plain
[2011-06-08 01:09:47,336] -- INFO -- protocol: loaded modules/protocol/TS6.py
[2011-06-08 01:09:47,337] -- DEBUG -- <- bound to 173.242.127.154
[2011-06-08 01:09:47,406] -- DEBUG -- -> connected to irc.maio.me
[2011-06-08 01:09:49,408] -- DEBUG -- -> UID labere 1 1307513389 +S labere labere.maio.me 127.0.0.1 48TAAAABC :labere irc services
[2011-06-08 01:09:49,409] -- DEBUG -- -> SJOIN 1307513389 #labere +nt :48TAAAABC
[2011-06-08 01:09:49,911] -- DEBUG -- <- registering :Channel Directory
[2011-06-08 01:09:49,912] -- DEBUG -- <- registering :Bot Services
[2011-06-08 01:09:49,912] -- DEBUG -- <- registering :Channel Services
[2011-06-08 01:09:49,913] -- DEBUG -- <- registering :Game Services
[2011-06-08 01:09:49,913] -- DEBUG -- <- registering :Network Announcements
[2011-06-08 01:09:49,914] -- DEBUG -- <- registering :Group Managment Services
[2011-06-08 01:09:49,915] -- DEBUG -- <- registering :Help Services
[2011-06-08 01:09:49,915] -- DEBUG -- <- registering :Host Management Services
[2011-06-08 01:09:49,916] -- DEBUG -- <- registering :Information Service
[2011-06-08 01:09:49,916] -- DEBUG -- <- registering :Memo Services
[2011-06-08 01:09:49,917] -- DEBUG -- <- registering :Nickname Services
[2011-06-08 01:09:49,917] -- DEBUG -- <- registering :Operator Services
[2011-06-08 01:09:49,918] -- DEBUG -- <- registering :SASL Authentication Agent
[2011-06-08 01:09:49,918] -- DEBUG -- <- registering :minecraft
[2011-06-08 01:09:49,918] -- DEBUG -- <- registering :tail shall truncate us
[2011-06-08 01:09:49,919] -- DEBUG -- <- registering :jack
[2011-06-08 01:09:49,919] -- DEBUG -- <- registering :unicorn rainbow poop
[2011-06-08 01:09:49,920] -- DEBUG -- <- registering :Joey
[2011-06-08 01:09:49,920] -- DEBUG -- <- registering :TerrorBite
[2011-06-08 01:09:49,921] -- DEBUG -- <- registering :k
[2011-06-08 01:09:49,921] -- DEBUG -- <- registering :Alyx
[2011-06-08 01:09:49,922] -- DEBUG -- <- registering :Linux User
[2011-06-08 01:09:49,924] -- DEBUG -- <- registering :Josh
[2011-06-08 01:09:49,924] -- DEBUG -- <- registering :CIA Bot (http://cia.vc)
[2011-06-08 01:09:49,925] -- DEBUG -- <- registering :ashie^.^
[2011-06-08 01:09:49,925] -- DEBUG -- <- registering :purple
[2011-06-08 01:09:49,925] -- DEBUG -- <- registering :Got ZNC?
[2011-06-08 01:09:49,926] -- DEBUG -- <- registering :Brandon Rodriguez
[2011-06-08 01:09:49,926] -- DEBUG -- <- registering :Hunter
[2011-06-08 01:09:49,927] -- DEBUG -- <- registering :Mitchell Cooper
[2011-06-08 01:09:49,927] -- DEBUG -- <- registering :CIA Bot (http://cia.vc)
[2011-06-08 01:09:49,927] -- DEBUG -- <- registering :Mitchell Cooper
[2011-06-08 01:09:49,928] -- DEBUG -- <- registering :blowing up snakes
[2011-06-08 01:09:49,928] -- DEBUG -- <- registering :Kelly
[2011-06-08 01:09:49,929] -- DEBUG -- <- registering :PircBot 1.5.0 Java IRC Bot - www.jibble.org
[2011-06-08 01:09:49,929] -- DEBUG -- <- registering :Textual User
[2011-06-08 01:09:49,929] -- DEBUG -- <- registering :...
[2011-06-08 01:09:49,930] -- DEBUG -- <- PING :47Q
[2011-06-08 01:09:49,930] -- DEBUG -- -> PONG :47Q
[2011-06-08 01:13:07,262] -- DEBUG -- <- registering :blowing up snakes
[2011-06-08 01:18:09,500] -- DEBUG -- <- PING :gyros.truncate.us
[2011-06-08 01:18:09,501] -- DEBUG -- -> PONG :gyros.truncate.us
[2011-06-08 01:17:19,925] -- DEBUG -- <- registering :Textual User
[2011-06-08 01:17:24,177] -- DEBUG -- <- registering :...
